experiment,version,mean_score,std_score,mean_ep_length,std_ep_length
1e7CaCFokus,1,12875.833,1545.4165,4662.533333333334,300.27983985313136
1e7CaCFokus,2,8526.667,5514.0874,4804.4,2365.802212076628
1e7CaCFokus,3,10648.333,4676.858,5852.266666666666,1893.4331241307564
1e7CaCFokus,4,13062.5,2515.5164,5744.933333333333,991.0590609152524
1e7CaCFokus,5,13639.167,3326.4387,6574.533333333334,1348.2434926805895
1e7CaCFokus,6,14411.667,1623.5602,6921.6,798.9623937749928
1e7CaCFokus,7,12022.5,4337.5747,5492.933333333333,1630.1553900029148
1e7CaCFokus,8,13123.333,3555.0256,6412.533333333334,1359.2863748632549
1e7CaCFokus,9,13137.5,4939.124,5973.066666666667,1738.8701107967272
1e7CaCFokus,10,7898.3335,48.705463,4013.466666666666,177.8853063696443
1e7Cropped,1,15160.8330078125,277.0892639160156,7330.8,589.1980085958653
1e7Cropped,2,13502.5,2954.58935546875,5504.666666666667,703.2367706224949
1e7Cropped,3,13103.3330078125,3539.177734375,6626.266666666666,2018.339828230673
1e7Cropped,4,16030.0,526.0465698242188,7021.733333333334,584.577507454933
1e7Cropped,5,13633.3330078125,3613.281982421875,6080.266666666666,1572.216077883557
1e7Cropped,6,5994.16650390625,6134.88232421875,4157.466666666666,1199.4560915496472
1e7Cropped,7,13511.6669921875,3045.2744140625,6640.533333333334,1672.8191720034245
1e7Cropped,8,12444.1669921875,3457.59228515625,5486.133333333333,1309.539861512008
1e7Cropped,9,14057.5,2520.988037109375,6459.2,780.5546062469514
1e7Cropped,10,14071.6669921875,2039.0841064453125,5984.533333333334,996.3446436293464
1e7FireRemove,1,14189.1669921875,1936.014892578125,6291.466666666666,1187.9891058235996
1e7FireRemove,2,12859.1669921875,4785.09619140625,5828.266666666666,1160.565348823102
1e7FireRemove,3,5998.33349609375,6081.82666015625,3692.4,2206.2892768930674
1e7FireRemove,4,15003.3330078125,206.0272216796875,7554.4,581.6579521792282
1e7FireRemove,5,12956.6669921875,4946.03759765625,6246.4,1851.325896035955
1e7FireRemove,6,10102.5,4438.2685546875,4833.733333333334,1894.88622232459
1e7FireRemove,7,12143.3330078125,4929.93408203125,6328.533333333334,1421.1119527406072
1e7FireRemove,8,11187.5,5316.326171875,5546.0,1800.7914556290705
1e7FireRemove,9,13045.0,2550.934326171875,5400.0,793.7260652559337
1e7FireRemove,10,15215.0,89.81462097167969,7166.533333333334,859.374335716915
1e7ScratchBaseline,1,16135.0,152.9705810546875,8695.066666666668,376.70385657112087
1e7ScratchBaseline,2,13547.5,3101.85009765625,5811.733333333334,589.8338146367066
1e7ScratchBaseline,3,11208.3330078125,5263.94775390625,6174.266666666666,1949.711139858643
1e7ScratchBaseline,4,15807.5,431.0427551269531,6711.6,481.5069123768284
1e7ScratchBaseline,5,14417.5,2029.3282470703125,6465.733333333334,1620.7302661317692
1e7ScratchBaseline,6,12692.5,1441.7169189453125,5984.666666666667,236.9879509360948
1e7ScratchBaseline,7,12345.8330078125,4906.89208984375,5436.133333333333,1958.6118848703936
1e7ScratchBaseline,8,15565.0,25.495098114013672,6162.8,183.7626004749969
1e7ScratchBaseline,9,4516.66650390625,1189.771240234375,4097.466666666666,374.1421951908422
1e7ScratchBaseline,10,13341.6669921875,1480.5311279296875,5712.666666666667,907.8696431145216
1e7ScratchFramestack1,1,6900.83349609375,3498.9375,3801.733333333333,1236.2091229058112
1e7ScratchFramestack1,2,6270.0,6436.556640625,4058.4,2467.0272745418392
1e7ScratchFramestack1,3,13238.3330078125,3535.3203125,5395.6,233.126803835738
1e7ScratchFramestack1,4,7329.16650390625,4391.24609375,4087.866666666667,1422.5949935085375
1e7ScratchFramestack1,5,13263.3330078125,3722.2236328125,5742.266666666666,1498.7111559232785
1e7ScratchFramestack1,6,10831.6669921875,4281.84619140625,5192.666666666667,1603.5171620188194
1e7ScratchFramestack1,7,10666.6669921875,3373.260986328125,4802.533333333334,1240.6924876410303
1e7ScratchFramestack1,8,6400.0,2127.89013671875,4265.066666666667,1644.3058704376008
1e7ScratchFramestack1,9,10860.0,1536.779541015625,5156.133333333333,112.95064802332426
1e7ScratchFramestack1,10,4836.66650390625,3162.216552734375,3890.4,931.2509722590004
1e7ScratchFramestack2,1,12594.1669921875,1379.1556396484375,5195.866666666667,135.84101818752032
1e7ScratchFramestack2,2,12421.6669921875,3186.689208984375,5930.0,1334.1243320370606
1e7ScratchFramestack2,3,15508.3330078125,602.3679809570312,6661.333333333333,395.9209797702342
1e7ScratchFramestack2,4,15218.3330078125,286.86041259765625,6725.066666666667,201.4849760045537
1e7ScratchFramestack2,5,13852.5,1578.3870849609375,6031.866666666667,759.6248079735739
1e7ScratchFramestack2,6,15035.0,126.26031494140624,6514.8,1047.7888591378196
1e7ScratchFramestack2,7,6801.66650390625,3310.62646484375,4435.066666666667,366.3436395274555
1e7ScratchFramestack2,8,14520.0,1682.0299072265625,7460.933333333333,407.8884596989176
1e7ScratchFramestack2,9,9612.5,2796.12646484375,6132.0,1676.0264118841724
1e7ScratchFramestack2,10,11674.1669921875,3505.623291015625,6168.533333333334,1785.6365388535507
1e7ScratchFramestack6,1,13322.5,3213.029052734375,6184.933333333333,1112.0722678355437
1e7ScratchFramestack6,2,14863.3330078125,93.48202514648438,6406.266666666666,418.7660391621502
1e7ScratchFramestack6,3,13168.3330078125,3351.062744140625,5689.333333333333,1292.4231849084451
1e7ScratchFramestack6,4,13646.6669921875,3087.553955078125,5942.933333333333,925.0037453377628
1e7ScratchFramestack6,5,13775.8330078125,1849.2508544921875,5179.6,990.8511358086712
1e7ScratchFramestack6,6,12634.1669921875,3602.16064453125,6795.066666666667,1192.9909452948734
1e7ScratchFramestack6,7,12210.0,3469.6396484375,5796.266666666666,392.06657031115975
1e7ScratchFramestack6,8,15291.6669921875,117.8511199951172,7865.2,465.943229732264
1e7ScratchFramestack6,9,10846.6669921875,5079.97607421875,5554.4,1461.4968035088775
1e7ScratchFramestack6,10,10300.8330078125,4288.00390625,5461.2,1500.297268321626
1e7ScratchNoClip,1,4515.0,144.56832885742188,3089.333333333333,106.98951142778228
1e7ScratchNoClip,2,4951.66650390625,54.365020751953125,3511.333333333333,346.436462027631
1e7ScratchNoClip,3,3120.833251953125,1928.52587890625,2654.0,839.306221431328
1e7ScratchNoClip,4,1754.1666259765625,1841.7166748046875,2905.733333333333,1545.710514797501
1e7ScratchNoClip,5,4725.83349609375,46.31564331054688,4728.533333333334,463.8835869291155
1e7ScratchNoClip,6,4413.33349609375,12.472192764282228,3742.533333333333,635.9827950153648
1e7ScratchNoClip,7,2205.833251953125,2044.9195556640625,2585.2,763.5657753810954
1e7ScratchNoClip,8,4323.33349609375,42.29526138305664,3438.5333333333333,82.32931164266805
1e7ScratchNoClip,9,4055.0,1325.7451171875,2880.9333333333334,521.9416910813783
1e7ScratchNoClip,10,3860.833251953125,1317.4736328125,2786.6666666666665,232.051335316611
1e7Standard,1,7256.66650390625,1363.5421142578125,16924.666666666668,2854.3898511279467
1e7Standard,2,4750.83349609375,258.8019714355469,4871.066666666667,366.3596532856144
1e7Standard,3,1562.5,256.9654541015625,3208.8,257.8772834767214
1e7Standard,4,1686.6666259765625,21.147628784179688,4338.133333333333,780.3122338027401
1e7Standard,5,4927.5,184.20437622070312,5028.666666666667,951.6240620936168
1e7Standard,6,6765.83349609375,5166.1015625,14650.533333333333,10297.877605711878
1e7Standard,7,10010.8330078125,4106.4365234375,20370.93333333333,8138.987320026709
1e7Standard,8,5304.16650390625,25.887041091918945,4633.866666666667,512.2871417042942
1e7Standard,9,4900.0,284.2387390136719,4706.133333333333,492.9754377473813
1e7Standard,10,1575.0,0.0,5141.066666666667,9.175813618178802
1e7StepPenalty,1,4289.16650390625,43.14864349365234,2552.9333333333334,51.52276735148797
1e7StepPenalty,2,800.0,0.0,1461.2,10.83943417957475
1e7StepPenalty,3,810.0,37.41657257080078,1502.0,68.72360099218706
1e7StepPenalty,4,4325.0,0.0,2400.9333333333334,51.52276735148797
1e7StepPenalty,5,664.1666870117188,134.11489868164062,1435.0666666666666,25.771991687790752
1e7StepPenalty,6,825.0,0.0,1616.0,84.08884190743343
1e7StepPenalty,7,850.0,0.0,1563.4666666666667,89.29790342194802
1e7StepPenalty,8,833.3333129882812,11.785113334655762,1463.6,14.323872846871174
1e7StepPenalty,9,4448.33349609375,24.944379806518555,2353.4666666666667,52.20966279233078
1e7StepPenalty,10,748.3333129882812,18.181188583374023,1406.4,48.42698971992098
